Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,Kyrgyzstan,,Bishkek,2,7,2009,35.2
Asia,Kyrgyzstan,,Bishkek,2,8,2009,43.5
Asia,Kyrgyzstan,,Bishkek,2,9,2009,46.7
Asia,Kyrgyzstan,,Bishkek,2,10,2009,38.6
Asia,Kyrgyzstan,,Bishkek,2,11,2009,37.6
Asia,Kyrgyzstan,,Bishkek,2,12,2009,33.9
Asia,Kyrgyzstan,,Bishkek,2,13,2009,32.2
Asia,Kyrgyzstan,,Bishkek,2,14,2009,33.4
Asia,Kyrgyzstan,,Bishkek,2,15,2009,42.2
Asia,Kyrgyzstan,,Bishkek,2,16,2009,38.1
Asia,Kyrgyzstan,,Bishkek,2,17,2009,32.4
Asia,Kyrgyzstan,,Bishkek,2,18,2009,31.2
Asia,Kyrgyzstan,,Bishkek,2,19,2009,31.6
Asia,Kyrgyzstan,,Bishkek,2,20,2009,35.1
Asia,Kyrgyzstan,,Bishkek,2,21,2009,32.4
Asia,Kyrgyzstan,,Bishkek,2,22,2009,30.6
Asia,Kyrgyzstan,,Bishkek,2,23,2009,30.0
Asia,Kyrgyzstan,,Bishkek,2,24,2009,36.7
Asia,Kyrgyzstan,,Bishkek,2,25,2009,38.4
Asia,Kyrgyzstan,,Bishkek,2,26,2009,36.6
Asia,Kyrgyzstan,,Bishkek,2,27,2009,32.5
Asia,Kyrgyzstan,,Bishkek,2,28,2009,34.0
Asia,Kyrgyzstan,,Bishkek,3,1,2009,37.6
Asia,Kyrgyzstan,,Bishkek,3,2,2009,-99.0
Asia,Kyrgyzstan,,Bishkek,3,3,2009,39.0
Asia,Kyrgyzstan,,Bishkek,3,4,2009,46.0
Asia,Kyrgyzstan,,Bishkek,3,5,2009,45.8
Asia,Kyrgyzstan,,Bishkek,3,6,2009,44.5
Asia,Kyrgyzstan,,Bishkek,3,7,2009,33.3
Asia,Kyrgyzstan,,Bishkek,3,8,2009,32.4
Asia,Kyrgyzstan,,Bishkek,3,9,2009,24.6
Asia,Kyrgyzstan,,Bishkek,3,10,2009,34.1
Asia,Kyrgyzstan,,Bishkek,3,11,2009,46.5
Asia,Kyrgyzstan,,Bishkek,3,12,2009,58.1
Asia,Kyrgyzstan,,Bishkek,3,13,2009,51.9
Asia,Kyrgyzstan,,Bishkek,3,14,2009,54.4
Asia,Kyrgyzstan,,Bishkek,3,15,2009,57.8
Asia,Kyrgyzstan,,Bishkek,3,16,2009,57.1
Asia,Kyrgyzstan,,Bishkek,3,17,2009,49.9
Asia,Kyrgyzstan,,Bishkek,3,18,2009,46.8
Asia,Kyrgyzstan,,Bishkek,3,19,2009,28.5
Asia,Kyrgyzstan,,Bishkek,3,20,2009,32.0
Asia,Kyrgyzstan,,Bishkek,3,21,2009,43.9
Asia,Kyrgyzstan,,Bishkek,3,22,2009,52.8
Asia,Kyrgyzstan,,Bishkek,3,23,2009,48.1
Asia,Kyrgyzstan,,Bishkek,3,24,2009,46.3
Asia,Kyrgyzstan,,Bishkek,3,25,2009,52.2
Asia,Kyrgyzstan,,Bishkek,3,26,2009,62.4
Asia,Kyrgyzstan,,Bishkek,3,27,2009,49.6
Asia,Kyrgyzstan,,Bishkek,3,28,2009,48.5
Asia,Kyrgyzstan,,Bishkek,3,29,2009,52.5
Asia,Kyrgyzstan,,Bishkek,3,30,2009,52.9
Asia,Kyrgyzstan,,Bishkek,3,31,2009,52.5
Asia,Kyrgyzstan,,Bishkek,4,1,2009,44.0
Asia,Kyrgyzstan,,Bishkek,4,2,2009,55.5
Asia,Kyrgyzstan,,Bishkek,4,3,2009,52.3
Asia,Kyrgyzstan,,Bishkek,4,4,2009,56.3
Asia,Kyrgyzstan,,Bishkek,4,5,2009,56.1
Asia,Kyrgyzstan,,Bishkek,4,6,2009,49.3
Asia,Kyrgyzstan,,Bishkek,4,7,2009,41.4
Asia,Kyrgyzstan,,Bishkek,4,8,2009,46.6
Asia,Kyrgyzstan,,Bishkek,4,9,2009,-99.0
Asia,Kyrgyzstan,,Bishkek,4,10,2009,57.7
Asia,Kyrgyzstan,,Bishkek,4,11,2009,53.9
Asia,Kyrgyzstan,,Bishkek,4,12,2009,54.2
Asia,Kyrgyzstan,,Bishkek,4,13,2009,49.4
Asia,Kyrgyzstan,,Bishkek,4,14,2009,50.1
Asia,Kyrgyzstan,,Bishkek,4,15,2009,41.1
Asia,Kyrgyzstan,,Bishkek,4,16,2009,45.3
Asia,Kyrgyzstan,,Bishkek,4,17,2009,48.0
Asia,Kyrgyzstan,,Bishkek,4,18,2009,50.4
Asia,Kyrgyzstan,,Bishkek,4,19,2009,59.7
Asia,Kyrgyzstan,,Bishkek,4,20,2009,61.1
Asia,Kyrgyzstan,,Bishkek,4,21,2009,50.4
Asia,Kyrgyzstan,,Bishkek,4,22,2009,47.5
Asia,Kyrgyzstan,,Bishkek,4,23,2009,57.4
Asia,Kyrgyzstan,,Bishkek,4,24,2009,57.9
Asia,Kyrgyzstan,,Bishkek,4,25,2009,63.7
Asia,Kyrgyzstan,,Bishkek,4,26,2009,47.6
Asia,Kyrgyzstan,,Bishkek,4,27,2009,50.6
Asia,Kyrgyzstan,,Bishkek,4,28,2009,41.0
Asia,Kyrgyzstan,,Bishkek,4,29,2009,51.0
Asia,Kyrgyzstan,,Bishkek,4,30,2009,55.5
Asia,Kyrgyzstan,,Bishkek,5,1,2009,59.4
Asia,Kyrgyzstan,,Bishkek,5,2,2009,65.0
Asia,Kyrgyzstan,,Bishkek,5,3,2009,60.0
Asia,Kyrgyzstan,,Bishkek,5,4,2009,57.1
Asia,Kyrgyzstan,,Bishkek,5,5,2009,53.8
Asia,Kyrgyzstan,,Bishkek,5,6,2009,54.5
Asia,Kyrgyzstan,,Bishkek,5,7,2009,56.0
Asia,Kyrgyzstan,,Bishkek,5,8,2009,53.6
Asia,Kyrgyzstan,,Bishkek,5,9,2009,58.4
Asia,Kyrgyzstan,,Bishkek,5,10,2009,60.6
Asia,Kyrgyzstan,,Bishkek,5,11,2009,62.9
Asia,Kyrgyzstan,,Bishkek,5,12,2009,64.4
Asia,Kyrgyzstan,,Bishkek,5,13,2009,66.8
Asia,Kyrgyzstan,,Bishkek,5,14,2009,66.5
Asia,Kyrgyzstan,,Bishkek,5,15,2009,57.5
Asia,Kyrgyzstan,,Bishkek,5,16,2009,58.6
Asia,Kyrgyzstan,,Bishkek,5,17,2009,68.3
Asia,Kyrgyzstan,,Bishkek,5,18,2009,64.9
Asia,Kyrgyzstan,,Bishkek,5,19,2009,62.0
Asia,Kyrgyzstan,,Bishkek,5,20,2009,63.3
Asia,Kyrgyzstan,,Bishkek,5,21,2009,54.0
Asia,Kyrgyzstan,,Bishkek,5,22,2009,59.4
Asia,Kyrgyzstan,,Bishkek,5,23,2009,65.0
Asia,Kyrgyzstan,,Bishkek,5,24,2009,61.0
Asia,Kyrgyzstan,,Bishkek,5,25,2009,52.5
