Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Additional Territories,San Juan Puerto Rico,4,5,1996,76.5
North America,US,Additional Territories,San Juan Puerto Rico,4,6,1996,78.2
North America,US,Additional Territories,San Juan Puerto Rico,4,7,1996,79.2
North America,US,Additional Territories,San Juan Puerto Rico,4,8,1996,79.9
North America,US,Additional Territories,San Juan Puerto Rico,4,9,1996,80.5
North America,US,Additional Territories,San Juan Puerto Rico,4,10,1996,81.1
North America,US,Additional Territories,San Juan Puerto Rico,4,11,1996,81.0
North America,US,Additional Territories,San Juan Puerto Rico,4,12,1996,74.3
North America,US,Additional Territories,San Juan Puerto Rico,4,13,1996,77.0
North America,US,Additional Territories,San Juan Puerto Rico,4,14,1996,77.3
North America,US,Additional Territories,San Juan Puerto Rico,4,15,1996,79.4
North America,US,Additional Territories,San Juan Puerto Rico,4,16,1996,79.2
North America,US,Additional Territories,San Juan Puerto Rico,4,17,1996,78.2
North America,US,Additional Territories,San Juan Puerto Rico,4,18,1996,78.2
North America,US,Additional Territories,San Juan Puerto Rico,4,19,1996,78.5
North America,US,Additional Territories,San Juan Puerto Rico,4,20,1996,79.0
North America,US,Additional Territories,San Juan Puerto Rico,4,21,1996,80.1
North America,US,Additional Territories,San Juan Puerto Rico,4,22,1996,80.0
North America,US,Additional Territories,San Juan Puerto Rico,4,23,1996,78.9
North America,US,Additional Territories,San Juan Puerto Rico,4,24,1996,77.0
North America,US,Additional Territories,San Juan Puerto Rico,4,25,1996,78.5
North America,US,Additional Territories,San Juan Puerto Rico,4,26,1996,77.6
North America,US,Additional Territories,San Juan Puerto Rico,4,27,1996,78.1
North America,US,Additional Territories,San Juan Puerto Rico,4,28,1996,79.1
North America,US,Additional Territories,San Juan Puerto Rico,4,29,1996,79.6
North America,US,Additional Territories,San Juan Puerto Rico,4,30,1996,78.2
North America,US,Additional Territories,San Juan Puerto Rico,5,1,1996,77.8
North America,US,Additional Territories,San Juan Puerto Rico,5,2,1996,76.7
North America,US,Additional Territories,San Juan Puerto Rico,5,3,1996,77.5
North America,US,Additional Territories,San Juan Puerto Rico,5,4,1996,77.7
North America,US,Additional Territories,San Juan Puerto Rico,5,5,1996,77.8
North America,US,Additional Territories,San Juan Puerto Rico,5,6,1996,78.3
North America,US,Additional Territories,San Juan Puerto Rico,5,7,1996,-99.0
North America,US,Additional Territories,San Juan Puerto Rico,5,8,1996,-99.0
North America,US,Additional Territories,San Juan Puerto Rico,5,9,1996,78.8
North America,US,Additional Territories,San Juan Puerto Rico,5,10,1996,78.5
North America,US,Additional Territories,San Juan Puerto Rico,5,11,1996,77.5
North America,US,Additional Territories,San Juan Puerto Rico,5,12,1996,77.0
North America,US,Additional Territories,San Juan Puerto Rico,5,13,1996,76.2
North America,US,Additional Territories,San Juan Puerto Rico,5,14,1996,78.3
North America,US,Additional Territories,San Juan Puerto Rico,5,15,1996,79.2
North America,US,Additional Territories,San Juan Puerto Rico,5,16,1996,79.2
North America,US,Additional Territories,San Juan Puerto Rico,5,17,1996,79.0
North America,US,Additional Territories,San Juan Puerto Rico,5,18,1996,80.0
